id,x,y,z,label,size
Meghan Trainor,-0.2838995733929023,0.0421260122454453,-0.025057892364425138,Meghan Trainor,18
John Legend,-0.21586709100235624,0.023608441916951547,-0.09267481044449366,John Legend,3
Teddy Swims,-0.32713170080165704,0.04563794634824585,-0.028320191914137514,Teddy Swims,2
T-Pain,-0.34946139690042244,0.044450744062322356,0.00024179819443810184,T-Pain,1
j.bird,-0.34046970321868153,0.08214731878071263,-0.02944856720542173,j.bird,1
Forest Blakk,-0.3542646575798933,0.05920173104328996,-0.014434808454727138,Forest Blakk,1
Niecy Nash,-0.3453605877183512,0.06166067946466833,0.0031895602271568837,Niecy Nash,1
Paul Russell,-0.3563855461657087,0.05469758534117738,-0.030985908858225993,Paul Russell,1
Kelli Trainor,-0.3470691419710593,0.0751072837672383,-0.017161491239719988,Kelli Trainor,1
The Pussycat Dolls,-0.34835523290495785,0.06854712712704657,-0.042225927220664344,The Pussycat Dolls,1
LunchMoney Lewis,-0.3503965380828472,0.05199446356048878,-0.05076925341526023,LunchMoney Lewis,1
Nicki Minaj,-0.10713033523055893,0.06997384113941993,-0.03598637873765861,Nicki Minaj,32
Jason Derulo,-0.3550815697307006,0.03764136231101515,-0.01421314315973821,Jason Derulo,1
Sam Fischer,-0.35439540329087105,0.02889444012304445,-0.028201969831267795,Sam Fischer,1
Paris Hilton,-0.3538449290796668,0.037339865210847825,-0.04256190581628429,Paris Hilton,1
Shy Carter,-0.33854237291146794,0.0781618753637784,-0.002516232493274291,Shy Carter,1
Jonas Brothers,-0.03963917660228816,-0.2124349281710949,0.03789025596838858,Jonas Brothers,5
Marshmello,-0.06017855592379895,-0.11027549213303292,0.07149199889864415,Marshmello,3
Rascal Flatts,-0.03137704018191718,-0.28186826261218223,0.05656199548214339,Rascal Flatts,1
Bailey Zimmerman,-0.047145015932667594,-0.2807024640732197,0.06211212157371446,Bailey Zimmerman,1
TOMORROW X TOGETHER,-0.04234070238999539,-0.2848249658056514,0.04468554720540599,TOMORROW X TOGETHER,1
Miley Cyrus,-0.018135347888181667,-0.13808554021913916,-0.04217428728153715,Miley Cyrus,14
Noah Kahan,-0.296571585905719,-0.2519931411617584,-0.11633138722843625,Noah Kahan,4
Zach Bryan,-0.34647494162066445,-0.26182671045877426,-0.1576407772801764,Zach Bryan,1
Julia Michaels,-0.19538568091018968,-0.2229888353756832,-0.040873702673633,Julia Michaels,2
Wesley Schultz,-0.35213715739188406,-0.27027304414929665,-0.143738058488322,Wesley Schultz,1
Joy Oladokun,-0.3425719864430563,-0.2832498518933737,-0.14844753374787692,Joy Oladokun,1
Mimi Webb,0.21886570770179925,-0.3748322131435364,-1.0,Mimi Webb,0
Katy Perry,-0.12120864826534715,0.0601583178403681,0.04747101483736855,Katy Perry,12
Juicy J,-0.16153892030223163,0.07574075033211598,0.0754847165484446,Juicy J,2
Snoop Dogg,-0.03521693409528206,0.052832482633406334,0.0944480579521742,Snoop Dogg,4
Migos,-0.17787635794068785,0.09082617404474534,0.08789835625397012,Migos,1
Skip Marley,-0.18190475146833746,0.07581970581123235,0.0905233244016173,Skip Marley,1
Doechii,-0.15117893200170385,0.07007432066588366,0.07013617029899182,Doechii,3
