song_id,tokens_no_stop
2YlZnw2ikdb837oKMKjBkW,"['I', 'find', 'dreamin', 'silver', 'gold', 'like', 'scene', 'movie', 'every', 'broken', 'heart', 'know', 'walkin', 'moonlight', 'pull', 'I', 'close', 'split', 'second', 'disappear', 'I', 'alone', 'I', 'wake', 'tear', 'side', 'breath', 'relief', 'I', 'realise', 'promise', 'tomorrow', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'I', 'go', 'hold', 'like', 'I', 'say', 'goodbye', 'wherever', 'standin', 'I', 'take', 'grant', 'never', 'know', 'run', 'time', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'lose', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'blink', 'eye', 'whisper', 'smoke', 'could', 'lose', 'everything', 'truth', 'never', 'know', 'I', 'kiss', 'long', 'babe', 'hey', 'chance', 'I', 'get', 'I', 'make', 'minute', 'love', 'regret', 'let', 'take', 'time', 'say', 'want', 'say', 'want', 'use', 'get', 'go', 'go', 'promise', 'tomorrow', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'lose', 'I', 'go', 'hold', 'hey', 'like', 'I', 'say', 'goodbye', 'wherever', 'standin', 'yeah', 'I', 'take', 'grant', 'never', 'know', 'run', 'time', 'I', 'go', 'love', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'like', 'I', 'go', 'lose', 'I', 'go', 'love', 'love', 'like', 'I', 'go', 'lose', 'hey', 'I', 'go', 'love', 'oh', 'like', 'I', 'go', 'lose', 'like', 'I', 'go', 'lose', 'I', 'go', 'hold', 'like', 'I', 'say', 'goodbye', 'wherever', 'standin', 'I', 'take', 'grant', 'never', 'know', 'run', 'time', 'I', 'go', 'love', 'I', 'go', 'love', 'baby', 'like', 'I', 'go', 'lose', 'like', 'I', 'go', 'lose', 'I', 'go', 'love', 'oh', 'like', 'I', 'go', 'lose']"
0QHEIqNKsMoOY5urbzN48u,"['I', 'could', 'gucci', 'I', 'could', 'wear', 'louis', 'vuitton', 'even', 'bet', 'I', 'make', 'look', 'I', 'make', 'look', 'I', 'make', 'double', 'take', 'soon', 'I', 'walk', 'away', 'call', 'chiropractor', 'case', 'neck', 'break', 'ooh', 'tell', 'I', 'gon', 'ooh', 'I', 'make', 'scene', 'double', 'sunscreen', 'I', 'turn', 'heat', 'go', 'make', 'glass', 'steam', 'ooh', 'tell', 'I', 'gon', 'ooh', 'I', 'walk', 'walk', 'I', 'guarantee', 'jaw', 'drop', 'drop', 'make', 'lot', 'I', 'get', 'get', 'lady', 'feel', 'I', 'bop', 'bop', 'bop', 'bop', 'bop', 'I', 'could', 'gucci', 'gucci', 'I', 'could', 'wear', 'louis', 'vuitton', 'even', 'bet', 'I', 'make', 'look', 'I', 'make', 'look', 'yeah', 'I', 'look', 'good', 'versacе', 'dress', 'take', 'I', 'hot', 'whеn', 'morning', 'hair', 'mess', 'even', 'hoodie', 'bet', 'I', 'make', 'look', 'I', 'make', 'look', 'mhm', 'hm', 'hm', 'get', 'taste', 'woo', 'never', 'ordinary', 'karat', 'cake', 'ooh', 'tell', 'I', 'gon', 'ooh', 'I', 'walk', 'walk', 'I', 'guarantee', 'jaw', 'drop', 'drop', 'I', 'guarantee', 'jaw', 'drop', 'drop', 'make', 'lot', 'I', 'get', 'get', 'lady', 'feel', 'I', 'bop', 'bop', 'bop', 'bop', 'bop', 'ooh', 'I', 'could', 'gucci', 'gucci', 'I', 'could', 'wear', 'louis', 'vuitton', 'louis', 'vuitton', 'even', 'bet', 'I', 'make', 'look', 'say', 'I', 'make', 'look', 'yeah', 'I', 'look', 'good', 'versace', 'dress', 'take', 'baby', 'I', 'hot', 'morning', 'hair', 'mess', 'even', 'hoodie', 'bet', 'I', 'make', 'look', 'say', 'I', 'make', 'look']"
3cU2wBxuV6nFiuf6PJZNlC,"['dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'take', 'I', 'date', 'I', 'deserve', 'babe', 'forget', 'flower', 'every', 'anniversary', 'treat', 'I', 'right', 'I', 'perfect', 'wife', 'buying', 'grocery', 'buy', 'buying', 'need', 'get', 'baby', 'I', 'thinkin', 'I', 'home', 'bake', 'apple', 'pie', 'I', 'never', 'learn', 'cook', 'I', 'write', 'hook', 'sing', 'along', 'I', 'sing', 'sing', 'along', 'I', 'hey', 'get', 'know', 'treat', 'I', 'like', 'lady', 'even', 'I', 'actin', 'crazy', 'tell', 'I', 'everything', 'alright', 'dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'dear', 'future', 'husband', 'wanna', 'get', 'special', 'loving', 'tell', 'I', 'I', 'beautiful', 'every', 'night', 'woo', 'every', 'fight', 'apologize', 'maybe', 'I', 'let', 'try', 'rock', 'body', 'right', 'even', 'I', 'wrong', 'know', 'I', 'never', 'wrong', 'disagree', 'disagree', 'get', 'know', 'treat', 'I', 'like', 'lady', 'even', 'I', 'actin', 'crazy', 'tell', 'I', 'everything', 'alright', 'alright', 'dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'hey', 'baby', 'hey', 'dear', 'future', 'husband', 'make', 'time', 'I', 'leave', 'I', 'lonely', 'never', 'see', 'family', 'mine', 'I', 'sleep', 'left', 'side', 'bed', 'hey', 'open', 'door', 'I', 'might', 'get', 'kiss', 'dirty', 'mind', 'classy', 'guy', 'buy', 'I', 'ring', 'buy', 'buy', 'I', 'ring', 'babe', 'get', 'know', 'treat', 'I', 'like', 'lady', 'even', 'I', 'actin', 'crazy', 'tell', 'I', 'everything', 'alright', 'woo', 'hey', 'dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'dear', 'future', 'husband', 'wanna', 'get', 'special', 'tell', 'I', 'I', 'beautiful', 'every', 'night', 'right', 'oh', 'woah', 'future', 'husband', 'well', 'love', 'I', 'right']"
0l0CvurVUrr2w3Jj1hOVFc,"['I', 'think', 'cute', 'I', 'think', 'sweet', 'let', 'friend', 'encourage', 'try', 'talk', 'I', 'let', 'I', 'stop', 'oh', 'speak', 'nah', 'ah', 'name', 'sign', 'number', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'nah', 'ah', 'name', 'sign', 'number', 'woo', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'nah', 'ah', 'first', 'go', 'say', 'runnin', 'game', 'thinkin', 'I', 'believe', 'every', 'word', 'call', 'I', 'beautiful', 'original', 'tell', 'I', 'I', 'like', 'girl', 'I', 'zone', 'come', 'along', 'I', 'think', 'maybe', 'go', 'blah', 'blah', 'blah', 'I', 'like', 'nah', 'ah', 'lady', 'listen', 'boy', 'give', 'lick', 'lip', 'swing', 'hip', 'girl', 'got', 'say', 'name', 'sign', 'number', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'nah', 'ah', 'name', 'sign', 'number', 'woo', 'need', 'let', 'go', 'need', 'let', 'go', 'need', 'let', 'go', 'nah', 'ah', 'thank', 'advance', 'I', 'wanna', 'dance', 'nope', 'I', 'need', 'hand', 'I', 'I', 'want', 'man', 'I', 'get', 'man', 'never', 'priority', 'hey', 'I', 'zone', 'come', 'along', 'want', 'take', 'personal', 'blah', 'blah', 'blah', 'I', 'like', 'nah', 'ah', 'lady', 'listen', 'lady', 'boy', 'give', 'ai', 'give', 'lick', 'lip', 'swing', 'hip', 'hey', 'hey', 'let', 'go', 'girl', 'got', 'say', 'got', 'say', 'woo', 'name', 'sign', 'number', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'need', 'let', 'go', 'uh', 'nah', 'ah', 'name', 'sign', 'number', 'woo', 'need', 'let', 'go', 'need', 'let', 'go', 'need', 'let', 'go', 'nah', 'ah', 'I', 'feelin', 'untouchable', 'untouchable', 'uh', 'I', 'feelin', 'untouchable', 'untouchable', 'I', 'feelin', 'untouchable', 'untouchable', 'I', 'feelin', 'nah', 'ah', 'hey', 'hey', 'hey', 'feelin', 'untouchable', 'untouchable', 'I', 'feelin', 'uh', 'I', 'feelin', 'untouchable', 'untouchable', 'untouchable', 'I', 'feelin', 'untouchable', 'untouchable', 'I', 'feelin', 'nah', 'ah', 'nah', 'ah', 'hey', 'lady', 'listen', 'say', 'lady', 'boy', 'give', 'ai', 'give', 'lick', 'lip', 'swing', 'hip', 'girl', 'got', 'say', 'name', 'hey', 'sign', 'number', 'uhh', 'need', 'let', 'go', 'need', 'let', 'go', 'need', 'let', 'go', 'nah', 'ah', 'name', 'sign', 'number', 'woo', 'need', 'let', 'go', 'need', 'let', 'go', 'babe', 'need', 'let', 'go', 'nah', 'ah', 'I', 'feelin', 'untouchable', 'untouchable', 'I', 'untouchable', 'babe', 'uh', 'I', 'feelin', 'untouchable', 'untouchable', 'go', 'away', 'baby', 'I', 'feelin', 'untouchable', 'untouchable', 'untouchable', 'I', 'feelin', 'nah', 'ah', 'ah', 'ah']"
3KwwE4sgCzMaKWq6QBebmX,"['ow', 'sexy', 'thing', 'I', 'see', 'I', 'standin', 'mirror', 'icy', 'thing', 'hangin', 'round', 'neck', 'mm', 'gold', 'show', 'I', 'respect', 'oh', 'ah', 'I', 'thank', 'god', 'every', 'day', 'uh', 'huh', 'I', 'wake', 'feelin', 'way', 'uh', 'huh', 'I', 'help', 'I', 'need', 'nobody', 'else', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'walk', 'like', 'dime', 'piece', 'I', 'go', 'straight', 'vip', 'I', 'never', 'pay', 'drink', 'entourage', 'behind', 'I', 'life', 'movie', 'tom', 'cruise', 'bless', 'I', 'baby', 'achoo', 'even', 'try', 'like', 'I', 'I', 'thank', 'god', 'every', 'day', 'thank', 'god', 'uh', 'huh', 'I', 'wake', 'feelin', 'way', 'I', 'feel', 'good', 'uh', 'huh', 'I', 'help', 'woo', 'I', 'need', 'nobody', 'else', 'baby', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'oh', 'ayy', 'I', 'I', 'would', 'wanna', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'hey', 'hey', 'ow', 'turn', 'bass', 'turn', 'bass', 'ow', 'turn', 'bass', 'let', 'go', 'I', 'thank', 'god', 'every', 'day', 'say', 'I', 'thank', 'god', 'uh', 'huh', 'I', 'wake', 'feelin', 'way', 'uh', 'huh', 'I', 'help', 'ow', 'I', 'need', 'nobody', 'else', 'baby', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'oh', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'hey', 'hey', 'hey', 'yeah', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I', 'I', 'wanna', 'I']"
5jE48hhRu8E6zBDPRSkEq7,"['know', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'bass', 'bass', 'bass', 'bass', 'bass', 'yeah', 'pretty', 'clear', 'I', 'size', 'two', 'I', 'shake', 'shake', 'like', 'I', 'suppose', 'I', 'get', 'boom', 'boom', 'boy', 'chase', 'right', 'junk', 'right', 'place', 'I', 'see', 'magazine', 'ah', 'ha', 'work', 'photoshop', 'ah', 'ha', 'know', 'shit', 'real', 'come', 'make', 'stop', 'get', 'beauty', 'beauty', 'ah', 'ha', 'raise', 'every', 'inch', 'perfect', 'bottom', 'top', 'yeah', 'momma', 'tell', 'I', 'worry', 'size', 'shoo', 'wop', 'wop', 'shoo', 'wop', 'wop', 'say', 'boy', 'like', 'little', 'booty', 'hold', 'night', 'booty', 'booty', 'uh', 'booty', 'booty', 'know', 'I', 'stick', 'figure', 'silicone', 'barbie', 'doll', 'shoo', 'wop', 'wop', 'shoo', 'wop', 'wop', 'go', 'ahead', 'move', 'along', 'know', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'bass', 'hey', 'I', 'bring', 'booty', 'back', 'go', 'ahead', 'tell', 'skinny', 'bitch', 'I', 'play', 'I', 'know', 'think', 'fat', 'I', 'tell', 'every', 'inch', 'perfect', 'bottom', 'top', 'yeah', 'momma', 'tell', 'I', 'woo', 'worry', 'size', 'shoo', 'wop', 'wop', 'hey', 'shoo', 'wop', 'wop', 'say', 'boy', 'like', 'little', 'booty', 'hold', 'night', 'booty', 'booty', 'uh', 'booty', 'booty', 'know', 'I', 'stick', 'figure', 'silicone', 'barbie', 'doll', 'shoo', 'wop', 'wop', 'shoo', 'wop', 'wop', 'oh', 'go', 'ahead', 'move', 'along', 'ooh', 'know', 'I', 'bass', 'bass', 'treble', 'treble', 'I', 'bass', 'ooh', 'bass', 'treble', 'yeah', 'yeah', 'yeah', 'I', 'bass', 'bass', 'treble', 'hey', 'yeah', 'I', 'bass', 'bass', 'know', 'know', 'I', 'bass', 'bass', 'treble', 'I', 'say', 'I', 'bass', 'bass', 'treble', 'uh', 'I', 'bass', 'bass', 'treble', 'I', 'say', 'I', 'bass', 'bass', 'ooh', 'know', 'I', 'bass', 'bass', 'treble', 'I', 'say', 'I', 'bass', 'bass', 'treble', 'ah', 'I', 'bass', 'bass', 'treble', 'I', 'bass', 'I', 'bass', 'bass', 'bass', 'bass', 'hey', 'hey', 'hey', 'hey', 'ooh', 'know', 'love', 'bass', 'ah', 'ah', 'ah', 'ah', 'ah', 'ah', 'yeah', 'ha', 'ha']"
1gMFAi2auKTgHsYH7nIBhv,"['lock', 'I', 'I', 'bad', 'I', 'know', 'I', 'good', 'I', 'ever', 'I', 'guilty', 'I', 'confess', 'blue', 'light', 'red', 'light', 'gon', 'get', 'real', 'wild', 'tonight', 'come', 'blue', 'light', 'red', 'light', 'anything', 'feel', 'good', 'well', 'must', 'illegal', 'must', 'illegal', 'illegal', 'anything', 'feel', 'good', 'well', 'must', 'illegal', 'must', 'illegal', 'call', 'criminal', 'criminal', 'criminal', 'criminal', 'call', 'criminal', 'criminal', 'criminal', 'criminal', 'I', 'stealin', 'time', 'I', 'know', 'want', 'I', 'swear', 'way', 'blow', 'mind', 'law', 'blue', 'light', 'hey', 'red', 'light', 'gon', 'get', 'real', 'wild', 'tonight', 'blue', 'light', 'red', 'light', 'anything', 'feel', 'good', 'well', 'must', 'illegal', 'must', 'illegal', 'illegal', 'hey', 'anything', 'feel', 'good', 'well', 'must', 'illegal', 'must', 'illegal', 'call', 'criminal', 'criminal', 'criminal', 'criminal', 'call', 'criminal', 'criminal', 'baby', 'criminal', 'criminal', 'anything', 'feel', 'good', 'must', 'illegal', 'illegal', 'ho', 'yeah', 'anything', 'feel', 'good', 'must', 'illegal', 'illegal', 'come', 'blue', 'light', 'red', 'light', 'gon', 'get', 'real', 'wild', 'tonight', 'blue', 'light', 'red', 'light', 'anything', 'feel', 'good', 'well', 'must', 'illegal', 'must', 'illegal', 'illegal', 'oh', 'anything', 'feel', 'good', 'well', 'must', 'illegal', 'must', 'illegal', 'call', 'criminal', 'criminal', 'babe', 'anything', 'feel', 'good', 'must', 'illegal', 'illegal', 'call', 'criminal', 'criminal', 'criminal', 'criminal', 'anything', 'feel', 'good', 'must', 'illegal', 'well', 'must', 'illegal', 'must', 'illegal']"
7MjKAV0mFiEID9WhDSSzaW,"['I', 'find', 'dreamin', 'silver', 'gold', 'like', 'scene', 'movie', 'every', 'broken', 'heart', 'know', 'walkin', 'moonlight', 'pull', 'I', 'close', 'split', 'second', 'disappear', 'I', 'alone', 'I', 'wake', 'tear', 'side', 'breath', 'relief', 'I', 'realise', 'promise', 'tomorrow', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'I', 'go', 'hold', 'like', 'I', 'say', 'goodbye', 'wherever', 'standin', 'I', 'take', 'grant', 'never', 'know', 'run', 'time', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'lose', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'blink', 'eye', 'whisper', 'smoke', 'could', 'lose', 'everything', 'truth', 'never', 'know', 'I', 'kiss', 'long', 'babe', 'hey', 'chance', 'I', 'get', 'I', 'make', 'minute', 'love', 'regret', 'let', 'take', 'time', 'say', 'want', 'say', 'want', 'use', 'get', 'go', 'go', 'promise', 'tomorrow', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'lose', 'I', 'go', 'hold', 'hey', 'like', 'I', 'say', 'goodbye', 'wherever', 'standin', 'yeah', 'I', 'take', 'grant', 'never', 'know', 'run', 'time', 'I', 'go', 'love', 'I', 'go', 'love', 'like', 'I', 'go', 'lose', 'like', 'I', 'go', 'lose', 'I', 'go', 'love', 'love', 'like', 'I', 'go', 'lose', 'hey', 'I', 'go', 'love', 'oh', 'like', 'I', 'go', 'lose', 'like', 'I', 'go', 'lose', 'I', 'go', 'hold', 'like', 'I', 'say', 'goodbye', 'wherever', 'standin', 'I', 'take', 'grant', 'never', 'know', 'run', 'time', 'I', 'go', 'love', 'I', 'go', 'love', 'baby', 'like', 'I', 'go', 'lose', 'like', 'I', 'go', 'lose', 'I', 'go', 'love', 'oh', 'like', 'I', 'go', 'lose']"
6gj08XDlv9Duc2fPOxUmVD,"['lip', 'movin', 'lip', 'movin', 'lip', 'movin', 'lyin', 'lyin', 'lyin', 'baby', 'lip', 'movin', 'lip', 'movin', 'ooh', 'lip', 'movin', 'I', 'say', 'lyin', 'lyin', 'lyin', 'baby', 'boy', 'look', 'I', 'face', 'ah', 'tell', 'I', 'bass', 'uh', 'really', 'think', 'I', 'could', 'replace', 'nah', 'I', 'come', 'outer', 'space', 'huh', 'I', 'classy', 'girl', 'I', 'hold', 'full', 'love', 'get', 'straight', 'overdue', 'go', 'find', 'somebody', 'new', 'buy', 'I', 'diamond', 'earring', 'deny', 'ny', 'ny', 'ny', 'ny', 'ny', 'deny', 'ny', 'I', 'smell', 'collar', 'goodbye', 'bye', 'bye', 'bye', 'bye', 'bye', 'I', 'know', 'lyin', 'lyin', 'lip', 'movin', 'movin', 'tell', 'I', 'think', 'I', 'dumb', 'I', 'might', 'young', 'young', 'I', 'stupid', 'stupid', 'talk', 'around', 'circle', 'tongue', 'I', 'give', 'bass', 'bass', 'give', 'I', 'sweet', 'talk', 'sweet', 'talk', 'sayin', 'I', 'number', 'one', 'woo', 'hoo', 'I', 'know', 'lie', 'lie', 'lip', 'movin', 'movin', 'baby', 'know', 'I', 'hey', 'lip', 'movin', 'lip', 'movin', 'lip', 'movin', 'lyin', 'lyin', 'lyin', 'baby', 'lip', 'movin', 'lip', 'movin', 'oh', 'lip', 'movin', 'lyin', 'lyin', 'lyin', 'lyin', 'hey', 'hey', 'baby', 'bring', 'tear', 'late', 'late', 'babe', 'oh', 'hey', 'love', 'I', 'two', 'face', 'two', 'face', 'babe', 'oh', 'buy', 'I', 'diamond', 'earring', 'deny', 'ny', 'ny', 'ny', 'ny', 'ny', 'deny', 'ny', 'yes', 'babe', 'I', 'smell', 'collar', 'goodbye', 'bye', 'bye', 'bye', 'bye', 'bye', 'hey', 'I', 'know', 'lyin', 'lyin', 'lip', 'movin', 'movin', 'tell', 'I', 'think', 'I', 'dumb', 'I', 'might', 'young', 'young', 'I', 'stupid', 'stupid', 'talk', 'around', 'circle', 'tongue', 'I', 'give', 'bass', 'bass', 'give', 'I', 'sweet', 'talk', 'sweet', 'talk', 'sayin', 'I', 'number', 'one', 'I', 'know', 'lie', 'I', 'know', 'lie', 'lip', 'movin', 'movin', 'baby', 'know', 'I', 'come', 'say', 'lip', 'movin', 'hey', 'hey', 'lip', 'movin', 'hey', 'hey', 'lip', 'movin', 'lyin', 'lyin', 'lyin', 'lip', 'movin', 'alright', 'lip', 'movin', 'I', 'wanna', 'hear', 'sing', 'I', 'lip', 'movin', 'lyin', 'lyin', 'lyin', 'go', 'I', 'know', 'lyin', 'woo', 'lyin', 'lip', 'movin', 'movin', 'tell', 'I', 'think', 'I', 'dumb', 'oh', 'I', 'might', 'young', 'young', 'I', 'stupid', 'stupid', 'talk', 'around', 'circle', 'tongue', 'I', 'give', 'bass', 'bass', 'give', 'I', 'sweet', 'talk', 'give', 'sweet', 'talk', 'sayin', 'I', 'number', 'one', 'I', 'know', 'lie', 'I', 'know', 'lie', 'lip', 'movin', 'lip', 'movin', 'baby', 'know', 'I']"
5MEYDJVJMaGAXfddTo0D6J,"['dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'take', 'I', 'date', 'I', 'deserve', 'babe', 'forget', 'flower', 'every', 'anniversary', 'treat', 'I', 'right', 'I', 'perfect', 'wife', 'buying', 'grocery', 'buy', 'buying', 'need', 'get', 'baby', 'I', 'thinkin', 'I', 'home', 'bake', 'apple', 'pie', 'I', 'never', 'learn', 'cook', 'I', 'write', 'hook', 'sing', 'along', 'I', 'sing', 'sing', 'along', 'I', 'hey', 'get', 'know', 'treat', 'I', 'like', 'lady', 'even', 'I', 'actin', 'crazy', 'tell', 'I', 'everything', 'alright', 'dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'dear', 'future', 'husband', 'wanna', 'get', 'special', 'loving', 'tell', 'I', 'I', 'beautiful', 'every', 'night', 'woo', 'every', 'fight', 'apologize', 'maybe', 'I', 'let', 'try', 'rock', 'body', 'right', 'even', 'I', 'wrong', 'know', 'I', 'never', 'wrong', 'disagree', 'disagree', 'get', 'know', 'treat', 'I', 'like', 'lady', 'even', 'I', 'actin', 'crazy', 'tell', 'I', 'everything', 'alright', 'alright', 'dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'hey', 'baby', 'hey', 'dear', 'future', 'husband', 'make', 'time', 'I', 'leave', 'I', 'lonely', 'never', 'see', 'family', 'mine', 'I', 'sleep', 'left', 'side', 'bed', 'hey', 'open', 'door', 'I', 'might', 'get', 'kiss', 'dirty', 'mind', 'classy', 'guy', 'buy', 'I', 'ring', 'buy', 'buy', 'I', 'ring', 'babe', 'get', 'know', 'treat', 'I', 'like', 'lady', 'even', 'I', 'actin', 'crazy', 'tell', 'I', 'everything', 'alright', 'woo', 'hey', 'dear', 'future', 'husband', 'thing', 'need', 'know', 'wanna', 'one', 'life', 'dear', 'future', 'husband', 'wanna', 'get', 'special', 'tell', 'I', 'I', 'beautiful', 'every', 'night', 'right', 'oh', 'woah', 'future', 'husband', 'well', 'love', 'I', 'right']"
