primary_artist,song_title,artists,release_date,popularity,is_collaboration,duration_seconds,spotify_id,lyrics
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",2015-01-12,79,True,225.053,2YlZnw2ikdb837oKMKjBkW,"I found myself dreamin' in silver and gold Like a scene from a movie that every broken heart knows We were walkin' on moonlight and you pulled me close Split second and you disappeared and then I was all alone I woke up in tears, with you by my side A breath of relief, and I've realised No, we're not promised tomorrow So I'm gonna love you like I'm gonna lose you I'm gonna hold you like I'm saying goodbye Wherever we're standin', I won't take you for granted 'Cause we'll never know when, when we'll run out of time So I'm gonna love you like I'm gonna lose you (Lose you) I'm gonna love you like I'm gonna lose you In the blink of an eye, just a whisper of smoke You could lose everything, the truth is you never know So I'll kiss you longer, babe (Hey), any chance that I get I'll make the most of the minutes and love with no regret Let's take our time to say what we want (Say what we want) Use what we got before it's all gone (All gone) 'Cause no (No), we're not promised tomorrow So I'm gonna love you like I'm gonna lose you (Lose you) I'm gonna hold you (Hey), like I'm saying goodbye Wherever we're standin' (Yeah), I won't take you for granted 'Cause we'll never know when, when we'll run out of time So I'm gonna love you (I'm gonna love you), like I'm gonna lose you (Like I'm gonna lose you) I'm gonna love you (Love you), like I'm gonna lose you (Hey) I'm gonna love you (Oh) like I'm gonna lose you (Like I'm gonna lose you) I'm gonna hold you like I'm saying goodbye Wherever we're standin', I won't take you for granted 'Cause we'll never know when, when we'll run out of time So I'm gonna love you (I'm gonna love you, baby) like I'm gonna lose you (Like I'm gonna lose you) I'm gonna love you (Oh) like I'm gonna lose you"
Meghan Trainor,Made You Look,Meghan Trainor,2022-10-21,79,False,134.256,0QHEIqNKsMoOY5urbzN48u,"I could have my Gucci on I could wear my Louis Vuitton But even with nothin' on Bet I made you look (I made you look) I'll make you double take soon as I walk away Call up your chiropractor just in case your neck break Ooh, tell me what you, what you, what you gon' do, ooh 'Cause I'm 'bout to make a scene, double up that sunscreen I'm 'bout to turn the heat up, gonna make your glasses steam Ooh, tell me what you, what you, what you gon' do, ooh When I do my walk, walk I can guarantee your jaw will drop, drop 'Cause they don't make a lot of what I got, got Ladies, if you feel me, this your bop, bop (Bop, bop, bop) I could have my Gucci on (Gucci on) I could wear my Louis Vuitton But even with nothin' on Bet I made you look (I made you look) Yeah, I look good in my Versacе dress (Take it off) But I'm hotter whеn my morning hair's a mess 'Cause even with my hoodie on Bet I made you look (I made you look) Mhm-hm-hm And once you get a taste (Woo), you'll never be the same This ain't that ordinary, this that 14 karat cake Ooh, tell me what you, what you what you gon' do, ooh When I do my walk, walk I can guarantee your jaw will drop, drop (I guarantee your jaw will drop, drop) 'Cause they don't make a lot of what I got, got Ladies, if you feel me, this your bop, bop (Bop, bop, bop) Ooh, I could have my Gucci on (Gucci on) I could wear my Louis Vuitton (Louis Vuitton) But even with nothin' on Bet I made you look (Said, I made you look) Yeah, I look good in my Versace dress (Take it off, baby) But I'm hotter when my morning hair's a mess 'Cause even with my hoodie on Bet I made you look (Said, I made you look)"
Meghan Trainor,Dear Future Husband,Meghan Trainor,2015-01-12,76,False,184.226,3cU2wBxuV6nFiuf6PJZNlC,"Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life Take me on a date, I deserve it, babe And don't forget the flowers every anniversary 'Cause if you'll treat me right, I'll be the perfect wife Buying groceries, buy-buying what you need You got the 9 to 5, but baby, so do I So don't be thinkin' I'll be home and baking apple pies I never learned to cook, but I can write a hook Sing along with me, sing, sing along with me (Hey) You've gotta know how to treat me like a lady Even when I'm actin' crazy Tell me everything's alright Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life Dear future husband If you wanna get that special loving Tell me I'm beautiful each and every night (Woo) After every fight, just apologize And maybe then I'll let you try and rock my body right Even if I was wrong, you know I'm never wrong Why disagree? Why, why disagree? You've gotta know how to treat me like a lady Even when I'm actin' crazy Tell me everything's alright (Alright) Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life (Hey baby, hey) Dear future husband Make time for me, don't leave me lonely And no, we'll never see your family more than mine I'll be sleeping on the left side of the bed (Hey) Open doors for me and you might get some... kisses Don't have a dirty mind, just be a classy guy Buy me a ring, buy, buy me a ring, babe You've gotta know how to treat me like a lady Even when I'm actin' crazy Tell me everything's alright (Woo, hey) Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life Dear future husband If you wanna get that special lovin' Tell me I'm beautiful each and every night (That's right) (Oh, woah) Future husband, better love me right"
Meghan Trainor,NO,Meghan Trainor,2017-05-12,76,False,213.506,0l0CvurVUrr2w3Jj1hOVFc,"I think it's so cute and I think it's so sweet How you let your friends encourage you to try and talk to me But let me stop you there, oh, before you speak Nah to the ah to the no, no, no My name is no, my sign is no My number is no (Uh), you need to let it go (Uh) You need to let it go (Uh), need to let it go (Uh) Nah to the ah to the, no, no, no My name is no, my sign is no My number is no (Woo), you need to let it go (Uh) You need to let it go (Uh), need to let it go (Uh) Nah to the ah to the no, no, no First you gonna say you ain't runnin' game Thinkin' I'm believing every word Call me beautiful, so original Telling me I'm not like other girls I was in my zone before you came along Now I'm thinking maybe you should go Blah, blah, blah, I be like Nah to the ah to the no, no, no All my ladies, listen up If that boy ain't giving up Lick your lips and swing your hips Girl, all you gotta say is My name is no, my sign is no My number is no (Uh), you need to let it go (Uh) You need to let it go (Uh), need to let it go (Uh) Nah to the ah to the, no, no, no My name is no, my sign is no My number is no (Woo), you need to let it go You need to let it go, need to let it go Nah to the ah to the no, no, no Thank you in advance, I don't wanna dance (Nope) I don't need your hands all over me (No, no) If I want a man, then I'ma get a man But it's never my priority (Hey) I was in my zone before you came along Don't want you to take this personal Blah, blah, blah, I be like Nah to the ah to the no, no, no All my ladies, listen up (All my ladies) If that boy ain't giving up (Ain't giving up) Lick your lips and swing your hips (Hey, hey, let's go) Girl, all you gotta say is (All you gotta say, woo) My name is no, my sign is no My number is no (Uh), you need to let it go (Uh) You need to let it go (Uh), need to let it go (Uh) Nah to the ah to the, no, no, no My name is no, my sign is no My number is no (Woo), you need to let it go You need to let it go, need to let it go Nah to the ah to the no, no, no I'm feelin' untouchable, untouchable Uh, I'm feelin' untouchable, untouchable I'm feelin' untouchable, untouchable I'm feelin', nah to the ah to the no, no, no (Hey, hey, hey) Feelin' untouchable, untouchable (I'm feelin') Uh, I'm feelin' untouchable, untouchable (Untouchable) I'm feelin' untouchable, untouchable I'm feelin', nah to the ah to the no, no, no (Nah to the ah, no, no, no, hey) All my ladies, listen up (Said, all my ladies) If that boy ain't giving up (Ain't giving up) Lick your lips and swing your hips (No, no) Girl, all you gotta say is (No, no) My name is no (Hey), my sign is no My number is no (Uhh), you need to let it go You need to let it go, need to let it go Nah to the ah to the, no, no, no My name is no, my sign is no My number is no (Woo), you need to let it go You need to let it go (Babe), need to let it go Nah to the ah to the no, no, no I'm feelin' untouchable, untouchable (I'm untouchable, babe) Uh, I'm feelin' untouchable, untouchable (Go away, baby) I'm feelin' untouchable, untouchable (Untouchable) I'm feelin', nah to the ah to the no, no, no (Ah, ah to the no, no, no, no)"
Meghan Trainor,Me Too,Meghan Trainor,2017-05-12,73,False,181.24,3KwwE4sgCzMaKWq6QBebmX,"Ow! Who's that sexy thing I see over there? That's me, standin' in the mirror What's that icy thing hangin' 'round my neck? Mm That's gold, show me some respect (Oh-ah) I thank God every day (Uh-huh) That I woke up feelin' this way (Uh-huh) And I can't help lovin' myself And I don't need nobody else, no If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too I walk in like a dime piece I go straight to VIP I never pay for my drinks My entourage behind me My life's a movie, Tom Cruise So bless me, baby, achoo And even if they tried to They can't do it like I do I thank God every day (Thank God, uh-huh) That I woke up feelin' this way (And I feel good, uh-huh) And I can't help lovin' myself (Woo) And I don't need nobody else, no (No, no, baby) If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too (Oh, ayy) If I was you (I would wanna), I'd wanna be me too I'd wanna be me too, I'd wanna be me too (Hey, hey) Ow! Turn the bass up Turn the bass up Ow! Turn the bass up Let's go I thank God every day (Said, I thank God, uh-huh) That I woke up feelin' this way (Uh-huh) And I can't help lovin' myself (Ow!) And I don't need nobody else, no (No, no, baby) If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too (Oh) If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too (Hey, hey, hey, yeah) If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too If I was you, I'd wanna be me too I'd wanna be me too, I'd wanna be me too"
Meghan Trainor,All About That Bass,Meghan Trainor,2015-01-12,73,False,187.92,5jE48hhRu8E6zBDPRSkEq7,"Because you know I'm all about that bass 'Bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass (Bass, bass, bass, bass) Yeah, it's pretty clear, I ain't no size two But I can shake it, shake it, like I'm supposed to do 'Cause I got that boom boom that all the boys chase And all the right junk in all the right places I see the magazines (Ah-ha) working that Photoshop (Ah-ha) We know that shit ain't real, come on now, make it stop If you got beauty, beauty (Ah-ha), just raise 'em up 'Cause every inch of you is perfect from the bottom to the top Yeah, my momma, she told me, ""Don't worry about your size"" (Shoo-wop, wop, shoo-wop, wop) She says, ""Boys like a little more booty to hold at night"" (That booty, booty, uh, that booty, booty) You know I won't be no stick-figure, silicone Barbie doll (Shoo-wop, wop, shoo-wop, wop) So, if that's what's you're into, then go ahead and move along Because you know I'm all about that bass 'Bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass, hey I'm bringing booty back Go ahead and tell them skinny bitches that No, I'm just playing, I know you think you're fat But I'm here to tell you Every inch of you is perfect from the bottom to the top Yeah, my momma, she told me (Woo!), ""Don't worry about your size"" (Shoo-wop, wop, hey, shoo-wop, wop) She says, ""Boys like a little more booty to hold at night"" (That booty, booty, uh, that booty, booty) You know I won't be no stick-figure, silicone Barbie doll (Shoo-wop, wop, shoo-wop, wop, oh, no) So, if that's what's you're into, then go ahead and move along (Ooh) Because you know I'm all about that bass 'Bout that bass, no treble (No treble) I'm all about that bass, (Ooh) 'bout that bass, no treble (Yeah, yeah, yeah) I'm all about that bass, 'bout that bass, no treble (Hey, yeah) I'm all about that bass, 'bout that bass (You know) Because you know I'm all about that bass 'Bout that bass, no treble (I said) I'm all about that bass, 'bout that bass, no treble (Uh) I'm all about that bass, 'bout that bass, no treble (I said) I'm all about that bass, 'bout that bass (Ooh) Because you know I'm all about that bass 'Bout that bass, no treble (I said) I'm all about that bass, 'bout that bass, no treble (Ah) I'm all about that bass, 'bout that bass, no treble (I'm all 'bout that bass) I'm all about that bass, 'bout that bass 'Bout that bass, 'bout that bass Hey, hey Hey-hey, ooh You know you love this bass Ah-ah-ah-ah-ah-ah, yeah Ha-ha"
Meghan Trainor,Criminals,Meghan Trainor,2024-08-16,72,False,154.504,1gMFAi2auKTgHsYH7nIBhv,"Lock me up 'cause I've been bad, and I know I'll do it again You're the best I ever had, I'm guilty, I confess Blue lights, red lights We gon' get real wild tonight (Come on) Blue lights, red lights with you (You, you, you) Anything that feels this good Well, it must be illegal, it must be illegal, illegal Anything that feels this good Well, it must be illegal, it must be illegal So call us criminals, criminals (Criminal, criminal) Call us criminals, criminals (Criminal, criminal) I've been stealin' all your time, but I know that's what you want I swear the way you blow my mind should be against the law Blue lights (Hey), red lights We gon’ get real wild tonight Blue lights, red lights with you (You, you, you) Anything that feels this good Well, it must be illegal, it must be illegal, illegal (Hey) Anything that feels this good Well, it must be illegal, it must be illegal So call us criminals, criminals (Criminal, criminal) Call us criminals, criminals (Baby, criminal, criminal) Anything that feels this good must be illegal, illegal (Ho-yeah) Anything that feels this good must be illegal, illegal (Come on) Blue lights, red lights We gon' get real wild tonight Blue lights, red lights with you Anything that feels this good Well, it must be illegal, it must be illegal, illegal (Oh) Anything that feels this good Well, it must be illegal, it must be illegal So call us criminals, criminals (Babe, anything that feels this good must be illegal, illegal) Call us criminals, criminals (Criminal, criminal) Anything that feels this good (Must be illegal) Well, it must be illegal, it must be illegal"
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",2015-01-09,71,True,225.053,7MjKAV0mFiEID9WhDSSzaW,"I found myself dreamin' in silver and gold Like a scene from a movie that every broken heart knows We were walkin' on moonlight and you pulled me close Split second and you disappeared and then I was all alone I woke up in tears, with you by my side A breath of relief, and I've realised No, we're not promised tomorrow So I'm gonna love you like I'm gonna lose you I'm gonna hold you like I'm saying goodbye Wherever we're standin', I won't take you for granted 'Cause we'll never know when, when we'll run out of time So I'm gonna love you like I'm gonna lose you (Lose you) I'm gonna love you like I'm gonna lose you In the blink of an eye, just a whisper of smoke You could lose everything, the truth is you never know So I'll kiss you longer, babe (Hey), any chance that I get I'll make the most of the minutes and love with no regret Let's take our time to say what we want (Say what we want) Use what we got before it's all gone (All gone) 'Cause no (No), we're not promised tomorrow So I'm gonna love you like I'm gonna lose you (Lose you) I'm gonna hold you (Hey), like I'm saying goodbye Wherever we're standin' (Yeah), I won't take you for granted 'Cause we'll never know when, when we'll run out of time So I'm gonna love you (I'm gonna love you), like I'm gonna lose you (Like I'm gonna lose you) I'm gonna love you (Love you), like I'm gonna lose you (Hey) I'm gonna love you (Oh) like I'm gonna lose you (Like I'm gonna lose you) I'm gonna hold you like I'm saying goodbye Wherever we're standin', I won't take you for granted 'Cause we'll never know when, when we'll run out of time So I'm gonna love you (I'm gonna love you, baby) like I'm gonna lose you (Like I'm gonna lose you) I'm gonna love you (Oh) like I'm gonna lose you"
Meghan Trainor,Lips Are Movin,Meghan Trainor,2015-01-12,70,False,182.666,6gj08XDlv9Duc2fPOxUmVD,"If your lips are movin' If your lips are movin' If your lips are movin', then you're lyin', lyin', lyin', baby If your lips are movin' If your lips are movin' (Ooh) If your lips are movin', I said you're lyin', lyin', lyin', baby Boy, look at me in my face (Ah) Tell me that you’re not just about this bass (Uh) You really think I could be replaced? Nah, I come from outer space (Huh) And I'm a classy girl, I'ma hold it up You full of somethin', but it ain't love And what we got, straight overdue Go find somebody new You can buy me diamond earrings And deny-ny-ny, ny-ny-ny, deny-ny But I smell her on your collar So goodbye-bye-bye, bye-bye-bye I know you're lyin' (Lyin') 'Cause your lips are movin' (Movin') Tell me, do you think I'm dumb? I might be young (Young) But I ain't stupid (Stupid) Talking around in circles with your tongue I gave you bass (Bass) You gave me sweet talk (Sweet talk) Sayin' how I’m your number one (Woo-hoo) But I know you lie (Lie) 'Cause your lips are movin' (Movin') Baby, don't you know I'm done? (Hey) If your lips are movin' If your lips are movin' If your lips are movin', then you're lyin', lyin', lyin', baby If your lips are movin' If your lips are movin' (Oh) If your lips are movin', then you're lyin', lyin', lyin', lyin' (Hey) Hey baby, don't you bring them tears 'Cause it's too late, too late, babe, oh (Hey) You only love me when you're here You're so two-faced, two-faced, babe, oh You can buy me diamond earrings And deny-ny-ny, ny-ny-ny, deny-ny (Yes you can, babe) But I smell her on your collar So goodbye-bye-bye, bye-bye-bye (Hey) I know you're lyin' (Lyin') 'Cause your lips are movin' (Movin') Tell me, do you think I'm dumb? I might be young (Young) But I ain't stupid (Stupid) Talking around in circles with your tongue I gave you bass (Bass) You gave me sweet talk (Sweet talk) Sayin' how I’m your number one But I know you lie (I know you lie) 'Cause your lips are movin' (Movin') Baby, don't you know I'm done? (Come on, say) If your lips are movin' (Hey, hey) If your lips are movin' (Hey, hey) If your lips are movin', then you're lyin', lyin', lyin' If your lips are movin' (Alright now) If your lips are movin' (I wanna hear y'all sing it with me) If your lips are movin', then you're lyin', lyin', lyin' (Here we go) I know you're lyin' (Woo, lyin') 'Cause your lips are movin' (Movin') Tell me, do you think I'm dumb? (Oh) I might be young (Young) But I ain't stupid (Stupid, no) Talking around in circles with your tongue I gave you bass (Bass) You gave me sweet talk (You gave some sweet talk) Sayin' how I’m your number one But I know you lie (I know you lie) 'Cause your lips are movin' (Your lips are movin') Baby, don't you know I'm done?"
Meghan Trainor,Dear Future Husband,Meghan Trainor,2015-01-09,70,False,184.226,5MEYDJVJMaGAXfddTo0D6J,"Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life Take me on a date, I deserve it, babe And don't forget the flowers every anniversary 'Cause if you'll treat me right, I'll be the perfect wife Buying groceries, buy-buying what you need You got the 9 to 5, but baby, so do I So don't be thinkin' I'll be home and baking apple pies I never learned to cook, but I can write a hook Sing along with me, sing, sing along with me (Hey) You've gotta know how to treat me like a lady Even when I'm actin' crazy Tell me everything's alright Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life Dear future husband If you wanna get that special loving Tell me I'm beautiful each and every night (Woo) After every fight, just apologize And maybe then I'll let you try and rock my body right Even if I was wrong, you know I'm never wrong Why disagree? Why, why disagree? You've gotta know how to treat me like a lady Even when I'm actin' crazy Tell me everything's alright (Alright) Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life (Hey baby, hey) Dear future husband Make time for me, don't leave me lonely And no, we'll never see your family more than mine I'll be sleeping on the left side of the bed (Hey) Open doors for me and you might get some... kisses Don't have a dirty mind, just be a classy guy Buy me a ring, buy, buy me a ring, babe You've gotta know how to treat me like a lady Even when I'm actin' crazy Tell me everything's alright (Woo, hey) Dear future husband Here's a few things you'll need to know if You wanna be my one and only All my life Dear future husband If you wanna get that special lovin' Tell me I'm beautiful each and every night (That's right) (Oh, woah) Future husband, better love me right"
